coachID,year,tmID,stint,lgID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won_y,lost_y,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,powerRanking
chancva99w,7,HOU,0,WNBA,HOU,WE,,3,Y,0,L,,,Houston Comets,928,2098,482,678,169,472,303,822,1125,532,617,252,566,84,928,2232,445,615,148,496,337,787,1124,526,705,298,519,89,0,0,0,0,0,0,18,16,34,12,5,6,11,11,9,6925,130586,Toyota Center,-70.77066624200143
coopecy01w,2,PHO,0,WNBA,PHO,WE,,5,N,0,,,,Phoenix Mercury,767,1894,429,587,101,313,300,642,942,514,625,292,519,138,785,1892,462,584,137,391,333,698,1031,524,603,283,517,127,0,0,0,0,0,0,13,19,32,10,6,3,13,8,13,6450,136979,US Airways Center,-205.84829862347397
coopecy01w,3,PHO,1,WNBA,PHO,WE,,7,N,0,,,,Phoenix Mercury,793,1889,405,538,100,328,292,626,918,427,623,267,501,94,850,1870,436,608,155,388,309,692,1001,532,600,268,491,127,0,0,0,0,0,0,11,21,32,10,6,1,15,7,14,6400,139798,US Airways Center,-296.53524540382614
sharpli99w,3,PHO,2,WNBA,PHO,WE,,7,N,0,,,,Phoenix Mercury,793,1889,405,538,100,328,292,626,918,427,623,267,501,94,850,1870,436,608,155,388,309,692,1001,532,600,268,491,127,0,0,0,0,0,0,11,21,32,10,6,1,15,7,14,6400,139798,US Airways Center,-308.95948782806863
coopemi01w,1,LAS,0,WNBA,LAS,WE,,1,Y,0,W,L,,Los Angeles Sparks,861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,0,0,0,0,0,0,28,4,32,15,1,13,3,17,4,6450,105005,Staples Center,137.6666033674419
coopemi01w,2,LAS,0,WNBA,LAS,WE,,1,Y,0,W,W,W,Los Angeles Sparks,916,2031,449,594,160,436,350,755,1105,596,616,281,438,138,779,1985,416,547,192,603,294,627,921,538,591,234,453,114,0,0,0,0,0,0,28,4,32,16,0,12,4,19,2,6475,148446,Staples Center,162.96492609839152
coopemi01w,3,LAS,0,WNBA,LAS,WE,,1,Y,0,W,W,W,Los Angeles Sparks,891,2002,476,645,194,515,329,814,1143,583,664,257,517,161,796,2040,480,649,163,521,314,645,959,508,623,275,453,111,0,0,0,0,0,0,25,7,32,12,4,13,3,17,4,6475,186410,Staples Center,100.93038663184461
coopemi01w,4,LAS,0,WNBA,LAS,WE,,1,Y,0,W,W,L,Los Angeles Sparks,894,2140,537,678,174,528,336,813,1149,587,682,242,470,161,866,2147,504,702,196,540,316,789,1105,572,654,241,468,127,0,0,0,0,0,0,24,10,34,11,6,13,4,17,7,6900,157934,Staples Center,-55.28793837320427
coopemi01w,5,LAS,1,WNBA,LAS,WE,,1,Y,0,L,,,Los Angeles Sparks,904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,0,0,0,0,0,0,25,9,34,15,2,10,7,16,6,6975,177269,Staples Center,11.931271948368703
thompka99w,5,LAS,2,WNBA,LAS,WE,,1,Y,0,L,,,Los Angeles Sparks,904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,0,0,0,0,0,0,25,9,34,15,2,10,7,16,6,6975,177269,Staples Center,14.788414805511366
weisery99w,5,LAS,2,WNBA,LAS,WE,,1,Y,0,L,,,Los Angeles Sparks,904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,0,0,0,0,0,0,25,9,34,15,2,10,7,16,6,6975,177269,Staples Center,14.788414805511366
coopemi01w,8,LAS,0,WNBA,LAS,WE,,7,N,0,,,,Los Angeles Sparks,940,2305,493,627,160,456,356,783,1139,554,732,245,571,107,954,2212,609,800,191,537,343,836,1179,616,605,290,550,137,0,0,0,0,0,0,10,24,34,5,12,5,12,6,16,6900,147810,Staples Center,-313.94025221424954
coopemi01w,9,LAS,0,WNBA,LAS,WE,,3,Y,0,W,L,,Los Angeles Sparks,954,2248,539,717,151,485,386,896,1282,613,713,251,608,216,888,2310,562,751,185,547,359,768,1127,513,717,303,523,141,0,0,0,0,0,0,20,14,34,12,5,8,9,12,8,7000,161639,Staples Center,-58.41930326771808
coopemi01w,10,LAS,0,WNBA,LAS,WE,,3,Y,0,W,L,,Los Angeles Sparks,973,2264,435,550,152,512,365,883,1248,587,583,217,568,166,903,2262,479,623,213,636,320,730,1050,516,622,300,463,115,0,0,0,0,0,0,18,16,34,11,6,7,10,11,9,6925,176587,Staples Center,-95.71037462785625
