year,lgID,tmID,confID,divID,rank,seeded,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,GP,homeW,homeL,awayW,awayL,confW,confL,attend,arena,playoff
8,WNBA,SEA,WE,,4,0,L,,,964,2210,582,715,224,639,1164,533,620,242,533,151,2734,987,2321,478,586,195,528,1094,591,642,272,495,112,2647,0,0,0,0,0,0,17,34,12,5,5,12,11,11,135553,KeyArena at Seattle Center,Y
9,WNBA,SEA,WE,,2,0,L,,,899,2112,552,728,143,453,1162,530,684,269,526,140,2493,861,2164,512,680,172,539,1092,498,674,263,515,115,2406,0,0,0,0,0,0,22,34,16,1,6,11,13,7,140503,KeyArena at Seattle Center,Y
1,WNBA,UTA,WE,,5,0,,,,858,1896,609,790,88,262,1080,522,698,214,544,157,2413,860,1964,531,721,156,448,911,503,702,301,437,112,2407,0,0,0,0,0,0,18,32,12,4,6,10,13,8,103442,EnergySolutions Arena,Y
2,WNBA,UTA,WE,,3,0,L,,,811,1849,507,675,78,244,1070,524,622,202,493,156,2207,789,1976,489,660,125,429,974,478,645,275,390,148,2192,0,0,0,0,0,0,19,32,9,7,10,6,11,10,110507,EnergySolutions Arena,Y
1,WNBA,WAS,EA,,4,0,L,,,832,1813,403,578,109,335,946,521,597,245,506,126,2176,845,1875,382,555,149,397,911,513,595,261,456,102,2221,0,0,0,0,0,0,14,32,7,9,7,9,13,8,244134,Verizon Center,N
2,WNBA,WAS,EA,,8,0,,,,739,1915,333,504,117,418,1055,424,537,257,495,127,1928,791,1945,347,467,146,408,1068,487,543,261,454,103,2075,0,0,0,0,0,0,10,32,8,8,2,14,4,17,246667,Verizon Center,Y
3,WNBA,WAS,EA,,3,0,W,,,806,1910,359,478,164,443,1038,516,583,221,455,94,2135,786,1903,397,538,147,446,989,442,570,237,441,101,2116,0,0,0,0,0,0,17,32,9,7,8,8,12,9,259237,Verizon Center,N
4,WNBA,WAS,EA,,7,0,,,,896,2191,381,507,157,505,1085,568,676,213,462,99,2330,909,2033,509,691,171,482,1115,591,565,251,468,119,2498,0,0,0,0,0,0,9,34,3,14,6,11,7,17,238710,Verizon Center,Y
5,WNBA,WAS,EA,,4,0,L,,,873,2088,474,661,105,283,1063,467,652,255,424,128,2325,864,2013,510,686,146,425,1106,534,627,237,492,111,2384,0,0,0,0,0,0,17,34,11,6,6,11,9,11,214448,Verizon Center,N
6,WNBA,WAS,EA,,5,0,,,,847,1968,388,546,181,510,943,517,697,260,435,76,2263,833,1872,489,648,150,433,1024,545,638,205,504,108,2305,0,0,0,0,0,0,16,34,10,7,6,11,9,11,171501,Verizon Center,Y
7,WNBA,WAS,EA,,4,0,L,,,1016,2199,528,715,187,522,1100,576,784,306,541,113,2747,909,2102,635,851,204,553,1041,583,687,252,573,89,2657,0,0,0,0,0,0,18,34,13,4,5,12,12,8,133255,Verizon Center,N
8,WNBA,WAS,EA,,5,0,,,,877,2170,668,839,163,528,1118,472,763,282,571,133,2585,924,2216,616,801,175,520,1208,549,762,256,579,103,2639,0,0,0,0,0,0,16,34,8,9,8,9,8,12,133255,Verizon Center,N
9,WNBA,WAS,EA,,6,0,,,,885,2131,435,659,163,460,1132,483,757,241,637,93,2368,929,2096,563,760,180,528,1093,542,708,314,530,146,2601,0,0,0,0,0,0,10,34,6,11,4,13,6,14,154637,Verizon Center,Y
