year,tmID,confID,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,attend,arena
1,NYL,EA,Y,792,1815,429,567,135,396,940,477,617,246,474,102,2148,741,1822,437,590,116,420,967,462,645,223,479,94,2035,20,12,32,12,4,8,8,14,7,231962,Madison Square Garden (IV)
2,NYL,EA,Y,833,1828,336,500,160,421,915,553,616,265,437,82,2162,744,1759,461,640,133,394,983,430,600,223,496,76,2082,21,11,32,13,3,8,8,13,8,250565,Madison Square Garden (IV)
3,NYL,EA,Y,772,1740,400,567,145,400,870,496,638,261,458,100,2089,691,1733,484,645,149,434,961,410,597,228,478,88,2015,18,14,32,10,6,8,8,11,10,234717,Madison Square Garden (IV)
4,NYL,EA,N,825,1923,412,537,181,500,957,527,587,262,470,128,2243,821,1959,459,581,155,467,1062,506,614,269,480,96,2256,16,18,34,11,6,5,12,11,13,212346,Madison Square Garden (IV)
5,NYL,EA,Y,819,1932,398,531,216,617,1004,539,587,209,506,124,2252,867,2096,431,579,132,416,1101,517,589,288,430,123,2297,18,16,34,11,6,7,10,10,10,168062,Madison Square Garden (IV)
6,NYL,EA,Y,828,1860,452,552,208,605,974,498,613,214,462,112,2316,859,2012,442,608,125,398,1030,473,590,275,411,86,2285,18,16,34,10,7,8,9,9,11,172381,Madison Square Garden (IV)
7,NYL,EA,N,822,2069,512,650,216,645,1021,475,674,252,576,112,2372,966,2153,553,722,171,461,1173,508,668,270,485,134,2656,11,23,34,7,10,4,13,7,13,155048,Madison Square Garden (IV)
8,NYL,EA,Y,870,2087,430,580,243,653,1075,500,618,289,612,109,2413,920,2223,471,619,190,589,1215,509,608,321,562,115,2501,16,18,34,10,7,6,11,10,10,147866,Madison Square Garden (IV)
9,NYL,EA,Y,912,2168,490,653,259,706,1105,551,655,290,547,117,2573,924,2163,516,674,174,485,1175,496,625,285,559,109,2538,19,15,34,11,6,8,9,11,9,153772,Madison Square Garden (IV)
10,NYL,EA,N,900,2168,458,582,254,710,1082,526,637,276,543,121,2512,906,2157,531,673,192,554,1202,482,590,269,548,124,2535,13,21,34,8,9,5,12,9,13,166604,Madison Square Garden (IV)
1,ORL,EA,Y,833,1911,397,546,145,424,925,473,583,255,486,130,2208,851,1964,378,495,153,450,1017,536,637,264,500,108,2233,16,16,32,11,5,5,11,13,8,117810,Amway Arena
2,ORL,EA,N,768,1914,430,587,174,532,970,452,643,320,532,125,2140,806,1831,436,605,157,438,975,534,600,298,546,114,2205,13,19,32,10,6,3,13,9,12,118874,Amway Arena
3,ORL,EA,N,808,1914,493,646,145,461,915,446,669,295,456,113,2254,804,1862,491,668,156,422,1046,519,637,251,541,108,2255,16,16,32,10,6,6,10,13,8,113837,Amway Arena
1,PHO,WE,Y,803,1800,513,661,124,394,894,465,630,285,429,91,2243,773,1828,421,574,135,416,969,486,699,224,531,91,2102,20,12,32,11,5,9,7,11,10,161075,US Airways Center
2,PHO,WE,N,767,1894,429,587,101,313,942,514,625,292,519,138,2064,785,1892,462,584,137,391,1031,524,603,283,517,127,2169,13,19,32,10,6,3,13,8,13,136979,US Airways Center
3,PHO,WE,N,793,1889,405,538,100,328,918,427,623,267,501,94,2091,850,1870,436,608,155,388,1001,532,600,268,491,127,2291,11,21,32,10,6,1,15,7,14,139798,US Airways Center
4,PHO,WE,N,801,2095,379,556,116,349,1000,461,664,310,479,111,2097,834,1867,466,626,136,371,1114,509,667,275,610,146,2270,8,26,34,6,11,2,15,5,19,144511,US Airways Center
5,PHO,WE,N,826,1922,456,598,192,519,916,501,748,282,464,137,2300,784,1845,534,724,133,348,1020,456,660,226,536,137,2235,17,17,34,10,7,7,10,11,11,136295,US Airways Center
6,PHO,WE,N,826,1994,531,693,178,539,1062,549,697,243,517,179,2361,855,1993,523,720,121,332,1024,470,672,265,483,112,2354,16,18,34,11,6,5,12,12,10,124146,US Airways Center
7,PHO,WE,N,1079,2434,537,684,265,722,1145,640,741,275,442,127,2960,1023,2360,630,852,203,618,1283,578,669,231,537,126,2879,18,16,34,10,7,8,9,8,12,126801,US Airways Center
8,PHO,WE,Y,1063,2419,616,754,283,802,1152,683,658,285,486,159,3025,1022,2526,570,716,290,762,1390,628,684,244,595,109,2904,23,11,34,12,5,11,6,17,5,131524,US Airways Center
9,PHO,WE,N,1069,2485,642,773,230,701,1226,560,794,232,489,156,3010,1036,2460,694,932,243,695,1298,650,717,234,500,129,3009,16,18,34,10,7,6,11,8,12,144867,US Airways Center
10,PHO,WE,Y,1128,2454,643,752,257,665,1190,625,740,225,500,181,3156,1094,2582,638,851,205,608,1285,607,671,260,460,143,3031,23,11,34,12,5,11,6,13,7,144884,US Airways Center
1,POR,WE,N,761,1828,488,697,145,433,936,480,761,265,593,93,2155,788,1847,577,766,150,447,953,487,729,277,531,130,2303,10,22,32,6,10,4,12,4,17,133076,Rose Garden Arena
2,POR,WE,N,733,1891,450,612,172,519,996,451,633,244,500,106,2088,791,1944,461,656,159,410,1106,501,643,293,474,144,2202,11,21,32,6,10,5,11,5,16,137656,Rose Garden Arena
3,POR,WE,N,829,1951,410,564,127,391,948,492,623,239,493,120,2195,819,1885,463,647,126,348,1012,486,616,272,508,139,2227,16,16,32,9,7,7,9,8,13,128656,Rose Garden Arena
1,SAC,WE,Y,876,1993,449,650,142,459,1038,567,571,332,458,157,2343,811,1918,410,544,144,418,951,503,600,226,524,116,2176,21,11,32,13,3,8,8,13,8,126841,ARCO Arena (II)
